company,domain,source,bucket,label,url,reason
infoblox.com,infoblox.com,nav_header,product,All Products,https://www.infoblox.com/products/,stop word
infoblox.com,infoblox.com,nav_header,solution,Solutions,https://www.infoblox.com/solutions/,stop word
infoblox.com,infoblox.com,nav_header,platform,THE PLATFORM,https://www.infoblox.com/platform/,stop word
infoblox.com,infoblox.com,nav_footer,nav,© 2026 Infoblox. All rights reserved.,https://www.infoblox.com/,"sentence, not a product name"
linkshadow.com,linkshadow.com,nav_header,nav,Partner Portal Login,https://portalv2.linkshadow.com/,stop word
maxhub.com,maxhub.com,nav_header,solution,All Solutions,https://www.maxhub.com/us/solutions/,stop word
liferay.com,liferay.com,nav_footer,solution,Solutions,https://www.liferay.com/solutions,stop word
liferay.com,liferay.com,nav_footer,platform,Platform,https://www.liferay.com/platform,stop word
liferay.com,liferay.com,nav_footer,capability,Products,https://www.liferay.com/capabilities,stop word
liferay.com,liferay.com,nav_header,capability,Security,https://www.liferay.com/capabilities/security,stop word
liferay.com,liferay.com,nav_header,nav,Customer Portal,https://support.liferay.com,stop word
menlosecurity.com,menlosecurity.com,nav_footer,nav,Modern Slavery Statement,https://www.menlosecurity.com/modern-slavery-statement,stop word
locuz.com,locuz.com,nav_footer,nav,YouTube,https://www.youtube.com/@shi-india,stop word
locuz.com,locuz.com,nav_footer,nav,Facebook,https://www.facebook.com/SHISolutionsIndia/,stop word
locuz.com,locuz.com,nav_footer,nav,LinkedIn,https://www.linkedin.com/company/shi-india/,stop word
mendix.com,mendix.com,nav_header,product,All Products,https://www.mendix.com/products/,stop word
mendix.com,mendix.com,nav_footer,industry,All Industries,https://www.mendix.com/industries/,stop word
miniorange.com,miniorange.com,sitemap,solution,Technology,https://www.miniorange.com/iam/solutions/technology,stop word
myvi.in,myvi.in,nav_footer,nav,full post on X,https://x.com/rafeeq_x/status/2063999692783120407,social link
neo-dis.com,neo-dis.com,sitemap,service,Services,https://www.neo-dis.com/neo-discom/services/services,stop word
nagarro.com,nagarro.com,nav_header,nav,linkedin,https://www.linkedin.com/company/nagarro,stop word
nagarro.com,nagarro.com,nav_header,nav,facebook,https://www.facebook.com/nagarroinc/,stop word
nagarro.com,nagarro.com,nav_header,nav,instagram,https://www.instagram.com/lifeatnagarro/,stop word
nagarro.com,nagarro.com,nav_header,nav,youtube,https://www.youtube.com/user/nagarrovideos,stop word
nagarro.com,nagarro.com,nav_footer,nav,privacy notice,https://www.nagarro.com/en/privacy-policy?hsLang=en,stop word
nagarro.com,nagarro.com,nav_header,nav,I-suite: Insights that move industries forward.,https://www.nagarro.com/en/insights-events/i-suite?hsLang=en,"sentence, not a product name"
nagarro.com,nagarro.com,nav_header,industry,all industries,https://www.nagarro.com/en/industries?hsLang=en,stop word
mongodb.com,mongodb.com,sitemap,product,Security,https://www.mongodb.com/pt-br/products/capabilities/security,stop word
mongodb.com,mongodb.com,sitemap,solution,Industries,https://www.mongodb.com/solutions/industries,stop word
mongodb.com,mongodb.com,sitemap,solution,Use Cases,https://www.mongodb.com/solutions/use-cases,stop word
npav.net,npav.net,nav_footer,nav,Terms & Conditions,https://www.npav.net/terms-of-use,stop word
npav.net,npav.net,nav_footer,nav,Facebook,https://www.facebook.com/npav.net/,stop word
npav.net,npav.net,nav_footer,nav,X (Twitter),https://twitter.com/netprotector/,social link
npav.net,npav.net,nav_footer,nav,Instagram,https://www.instagram.com/netprotector/,stop word
npav.net,npav.net,nav_footer,nav,LinkedIn,https://in.linkedin.com/company/netprotectorantivirus,stop word
npav.net,npav.net,nav_footer,nav,YouTube,https://www.youtube.com/channel/UCQ8Ka-PVZ08DAzahAdI_dfw/videos,stop word
netskope.com,netskope.com,nav_footer,product,Products,https://www.netskope.com/products,stop word
netskope.com,netskope.com,nav_footer,solution,Solutions,https://www.netskope.com/solutions,stop word
netskope.com,netskope.com,sitemap,solution,Industries,https://www.netskope.com/solutions/industries,stop word
nopalcyber.com,nopalcyber.com,nav_footer,solution,Solutions,https://www.nopalcyber.com/solutions,stop word
nice.com,nice.com,nav_header,product,All Products,https://www.nice.com/products,stop word
nice.com,nice.com,nav_header,product,Platform,https://www.nice.com/products/cxone,stop word
netwitness.com,netwitness.com,nav_footer,use_case,Use Cases,https://www.netwitness.com/use-cases/,stop word
